product_category_name,translated_name,price_elasticity
utilidades_domesticas,home_utilities,-2.0
perfumaria,perfumery,-1.0
automotivo,automotive,-1.5
pet_shop,pet_shop,-1.3
papelaria,stationery,-1.8
moveis_decoracao,furniture_decor,-1.6
moveis_escritorio,office_furniture,-1.7
ferramentas_jardim,unknown,-1.5
informatica_acessorios,electronics_accessories,-2.5
cama_mesa_banho,bed_bath,-1.5
brinquedos,toys,-2.1
telefonia,telephony,-2.0
beleza_saude,beauty_health,-1.2
eletronicos,electronics,-2.3
bebes,baby_products,-1.4
cool_stuff,cool_stuff,-1.5
relogios_presentes,watches_gifts,-1.3
climatizacao,climate_control,-1.8
esporte_lazer,sports_leisure,-2.2
livros_interesse_geral,books_general,-0.6
construcao_ferramentas_construcao,unknown,-1.5
eletroportateis,small_appliances,-1.7
alimentos,food,-0.8
malas_acessorios,suitcases_accessories,-1.5
fashion_underwear_e_moda_praia,unknown,-1.5
artigos_de_natal,christmas_items,-1.6
fashion_bolsas_e_acessorios,fashion_bags_accessories,-1.6
instrumentos_musicais,musical_instruments,-2.3
construcao_ferramentas_iluminacao,unknown,-1.5
livros_tecnicos,unknown,-1.5
construcao_ferramentas_jardim,unknown,-1.5
eletrodomesticos,home_appliances,-1.5
market_place,market_place,-1.5
agro_industria_e_comercio,agro_industry_commerce,-1.8
artigos_de_festas,party_supplies,-1.9
casa_conforto,unknown,-1.5
cds_dvds_musicais,music_cds_dvds,-2.2
industria_comercio_e_negocios,industry_business,-1.6
consoles_games,unknown,-1.5
moveis_quarto,unknown,-1.5
construcao_ferramentas_seguranca,tools_security,-1.7
telefonia_fixa,unknown,-1.5
bebidas,drinks,-1.0
moveis_cozinha_area_de_servico_jantar_e_jardim,unknown,-1.5
fashion_calcados,fashion_shoes,-1.6
casa_construcao,home_construction,-1.7
audio,unknown,-1.5
eletrodomesticos_2,unknown,-1.5
fashion_roupa_masculina,men_clothing,-1.3
cine_foto,unknown,-1.5
moveis_sala,unknown,-1.5
artes,arts,-1.9
alimentos_bebidas,unknown,-1.5
tablets_impressao_imagem,unknown,-1.5
fashion_esporte,unknown,-1.5
portateis_cozinha_e_preparadores_de_alimentos,unknown,-1.5
la_cuisine,kitchen,-1.7
flores,flowers,-1.3
pcs,unknown,-1.5
casa_conforto_2,unknown,-1.5
portateis_casa_forno_e_cafe,unknown,-1.5
dvds_blu_ray,unknown,-1.5
pc_gamer,unknown,-1.5
construcao_ferramentas_ferramentas,unknown,-1.5
fashion_roupa_feminina,women_clothing,-1.4
moveis_colchao_e_estofado,unknown,-1.5
sinalizacao_e_seguranca,unknown,-1.5
fraldas_higiene,diapers_hygiene,-1.0
livros_importados,unknown,-1.5
fashion_roupa_infanto_juvenil,kids_clothing,-1.5
musica,unknown,-1.5
artes_e_artesanato,unknown,-1.5
seguros_e_servicos,insurance_services,-0.5
