#{"t_start": 1745835308.462683, "env_id": "None"}
r,l,t
130794.766577,52,0.019761
146202.691925,52,0.035744
152881.829922,52,0.052234
153606.546701,52,0.067803
158121.231924,52,0.083415
157320.538192,52,0.099386
156491.010131,52,0.114356
149966.80153,52,0.129622
137670.976003,52,0.144223
135354.414402,52,0.159977
152863.763892,52,0.175305
157703.541728,52,0.189923
151118.67921,52,0.205106
144591.759347,52,0.220202
149812.720727,52,0.235435
154564.332988,52,0.251643
151584.356564,52,0.266741
155331.012689,52,0.282671
147850.45904,52,0.297903
146947.311026,52,0.314357
153099.903737,52,0.329991
154559.905379,52,0.344684
143274.565121,52,0.359916
156361.051909,52,0.374528
152022.667684,52,0.389067
156635.236228,52,0.404257
160364.722779,52,0.418841
155170.904709,52,0.434009
152508.314303,52,0.449715
150360.891058,52,0.464343
151220.204694,52,0.47945
144530.320201,52,0.493949
139631.472129,52,0.50931
150129.503531,52,0.524598
146336.061288,52,0.540454
144661.875187,52,0.556677
143724.329098,52,0.572224
145247.638102,52,0.587916
144062.302838,52,0.603833
151817.667455,52,0.619326
148841.185085,52,0.634778
143887.371493,52,0.649488
147702.027883,52,0.664795
151442.992263,52,0.67942
147429.359916,52,0.694059
147304.779084,52,0.71045
145369.910893,52,0.72513
148028.309392,52,0.740494
149228.66413,52,0.756259
143592.040238,52,0.770836
145301.037568,52,0.786099
153122.192326,52,0.800685
141704.959326,52,0.816787
145395.892221,52,0.832457
143109.121104,52,0.847993
155944.420071,52,0.865776
151219.175087,52,0.881145
136264.887049,52,0.89878
145902.180807,52,0.91385
142060.244546,52,0.928752
128641.622,52,0.944237
139959.672616,52,0.959437
142091.078947,52,0.974972
136165.158393,52,0.989811
142112.396114,52,1.004935
141617.209904,52,1.02093
140950.226928,52,1.0358
139480.815742,52,1.052919
138490.837315,52,1.068006
142631.978019,52,1.083015
136672.407573,52,1.098954
135855.549801,52,1.114908
136460.27286,52,1.131429
138512.854443,52,1.146852
141441.689148,52,1.162409
137962.840718,52,1.178541
140700.42408,52,1.195219
142175.563229,52,1.210902
142789.995536,52,1.225731
141931.784639,52,1.241439
139983.295937,52,1.257134
141141.129103,52,1.271844
138947.895417,52,1.287035
132716.219616,52,1.301599
137541.298952,52,1.316321
139505.144482,52,1.331509
136919.104871,52,1.347123
139841.329708,52,1.362462
142415.959397,52,1.377097
138352.40119,52,1.391841
140148.357837,52,1.40724
139955.974919,52,1.422859
137442.125512,52,1.438841
142104.834399,52,1.454176
140628.505788,52,1.469669
141999.643462,52,1.485955
139021.437205,52,1.50206
140012.059688,52,1.517329
137386.722411,52,1.531922
139725.659996,52,1.546414
138300.207096,52,1.561493
139723.44567,52,1.575969
140116.885934,52,1.591028
139833.529363,52,1.605503
141454.235928,52,1.619949
140501.024639,52,1.636053
141486.384795,52,1.650689
137818.034022,52,1.665835
138700.533517,52,1.680444
141358.490553,52,1.694985
138720.8655,52,1.710734
140798.359847,52,1.726307
139450.987293,52,1.742541
140609.276589,52,1.758106
139490.06333,52,1.773673
140642.704518,52,1.790723
138875.153842,52,1.806115
140604.080503,52,1.821545
142438.76425,52,1.83627
140478.124212,52,1.850872
139356.290129,52,1.866092
140245.978974,52,1.880673
140635.788292,52,1.895866
139405.615443,52,1.910887
138282.799695,52,1.925543
141050.034688,52,1.94163
142260.557225,52,1.956176
137540.953241,52,1.971346
140068.374845,52,1.985902
140323.754697,52,2.001113
141382.482447,52,2.017504
141377.888359,52,2.032652
139484.243137,52,2.048884
142440.50489,52,2.064382
142110.93174,52,2.080739
139355.748922,52,2.097516
139182.965536,52,2.11218
138117.563204,52,2.127331
137786.410475,52,2.141834
139009.158486,52,2.15632
138433.220001,52,2.171542
142246.704818,52,2.186307
141221.872273,52,2.201563
139687.385477,52,2.218017
140454.910674,52,2.237928
141619.961916,52,2.253929
143838.324103,52,2.268802
139954.264256,52,2.284811
140210.18325,52,2.300455
140292.674638,52,2.315721
141982.161267,52,2.331704
141427.090757,52,2.347324
139404.022705,52,2.36375
141823.272503,52,2.380176
142922.326545,52,2.395307
138172.949093,52,2.410638
136916.604682,52,2.426269
138799.193322,52,2.441698
141219.956092,52,2.456369
137398.945027,52,2.470947
138364.883304,52,2.486172
139070.221721,52,2.500708
140627.255451,52,2.516283
140569.827724,52,2.636248
141267.493605,52,2.664854
139444.300108,52,2.686632
142141.085195,52,2.721928
142635.237994,52,2.739491
140834.597652,52,2.756739
139228.327483,52,2.772022
140681.352744,52,2.787804
139357.45408,52,2.80285
141956.659913,52,2.818337
140256.805854,52,2.834158
140667.115017,52,2.849169
142285.832045,52,2.86481
142420.706925,52,2.881316
143466.286372,52,2.899063
142152.437394,52,2.921096
140466.217622,52,2.944315
140738.51992,52,2.959799
142689.176906,52,2.976328
141490.8722,52,2.994123
142290.593444,52,3.010431
142617.687152,52,3.02521
142049.936848,52,3.042363
142809.759936,52,3.05939
141684.131813,52,3.077465
142423.592458,52,3.093464
142549.116697,52,3.110124
141774.975641,52,3.127044
143095.334331,52,3.143328
140729.679669,52,3.160055
141149.49862,52,3.174681
141280.192122,52,3.189239
142247.909743,52,3.204408
141943.511711,52,3.21892
142595.718673,52,3.234009
143246.197089,52,3.24851
141557.484607,52,3.262992
142324.258469,52,3.278048
142035.068036,52,3.293471
142141.197056,52,3.308718
142785.53422,52,3.323274
142855.228302,52,3.33785
142731.446014,52,3.352995
142059.880993,52,3.368402
142707.379113,52,3.384173
141277.738759,52,3.399301
142117.029667,52,3.414851
142841.798994,52,3.430935
143072.642299,52,3.447148
142803.566486,52,3.463301
141673.329741,52,3.477937
142976.598203,52,3.492436
142949.096517,52,3.507587
143157.033185,52,3.522105
141451.856478,52,3.537222
142555.694202,52,3.551716
143151.312847,52,3.566491
142490.642522,52,3.581679
142025.748949,52,3.597314
141740.855843,52,3.612553
142951.39071,52,3.627127
142113.897757,52,3.641675
142600.643073,52,3.657508
142831.372535,52,3.673006
142064.857309,52,3.689086
142018.065846,52,3.704443
142027.798396,52,3.719571
142122.200108,52,3.736564
142221.510318,52,3.752081
142710.819528,52,3.767524
142311.930852,52,3.782173
142518.502889,52,3.796738
142921.842775,52,3.811964
142833.376869,52,3.826469
142046.532963,52,3.841564
142926.034528,52,3.856083
142563.281811,52,3.870537
142603.247415,52,3.886635
142552.600933,52,3.901153
142295.173291,52,3.916246
141956.588603,52,3.930767
143321.090069,52,3.945355
142304.671548,52,3.961475
142226.709343,52,3.976791
142361.672668,52,3.992855
142539.656348,52,4.007934
142379.000973,52,4.023302
141941.713142,52,4.040384
143108.462948,52,4.055303
142223.560748,52,4.070507
142536.818932,52,4.085095
142755.783448,52,4.099657
142991.745428,52,4.114818
142158.118271,52,4.129378
142318.703949,52,4.144468
141701.972256,52,4.159172
142240.284383,52,4.174809
142596.697454,52,4.189925
143061.073007,52,4.204399
143178.918525,52,4.219525
143090.738854,52,4.234011
142088.583224,52,4.249564
141922.112967,52,4.265847
142301.361274,52,4.281202
142338.584349,52,4.297117
142885.432833,52,4.31244
142946.581499,52,4.328635
141802.21315,52,4.344542
143026.416558,52,4.359412
142373.939852,52,4.374632
143315.239412,52,4.389194
142955.830088,52,4.403761
142309.662398,52,4.419605
142248.023205,52,4.434974
141317.767097,52,4.451061
142698.774667,52,4.467417
142150.04025,52,4.482729
142286.394806,52,4.498881
142350.201743,52,4.514165
141946.384093,52,4.530708
142327.024605,52,4.546947
142740.302534,52,4.563362
142577.121054,52,4.580802
142447.220803,52,4.597307
142561.966025,52,4.615365
142165.803265,52,4.633537
142663.039932,52,4.649735
142267.541801,52,4.665934
142397.997878,52,4.680754
143129.016887,52,4.696053
142208.780475,52,4.710708
142797.434835,52,4.725356
141437.654172,52,4.74058
141820.895114,52,4.755181
142649.078046,52,4.770577
143131.55812,52,4.786498
142597.383345,52,4.801405
142824.636654,52,4.816752
142961.872436,52,4.831494
142761.721932,52,4.847563
142697.840839,52,4.863347
142511.061247,52,4.878764
142678.770346,52,4.894553
142656.531084,52,4.909689
142170.986356,52,4.926875
141839.871381,52,4.941675
141805.017774,52,4.956282
142613.466746,52,4.971471
142260.2485,52,4.98601
143373.232623,52,5.001409
141834.107942,52,5.016641
142188.607723,52,5.031269
143104.049928,52,5.04648
142277.548581,52,5.061016
142859.632143,52,5.07725
