#{"t_start": 1748454781.583168, "env_id": "None"}
r,l,t
100733.581145,52,0.5378
88296.360696,52,0.54176
98922.905294,52,0.618105
125122.20536,52,0.629405
108248.490909,52,0.676006
115202.14499,52,0.685868
112559.142883,52,0.696419
128785.465132,52,0.707307
115912.078187,52,0.719296
126575.790869,52,0.732998
137360.317065,52,0.747644
104308.434389,52,0.758807
122103.025903,52,0.770162
121703.518722,52,0.781629
133886.866925,52,0.792287
108273.131383,52,0.803353
111562.11904,52,0.815133
117068.059701,52,0.826246
96463.435385,52,0.837165
130138.257274,52,0.848037
101795.866697,52,0.859079
126800.316536,52,0.869013
95362.86976,52,0.878921
120176.35647,52,0.88888
113172.066518,52,0.899315
120602.492482,52,0.910011
132993.559019,52,0.919936
133081.149336,52,0.9297
115434.202018,52,0.940061
116302.401228,52,0.949746
113538.313885,52,0.959526
108820.142482,52,0.970238
127598.698702,52,0.981444
107944.818974,52,0.991631
127035.825567,52,1.002079
131834.18142,52,1.012499
126673.113708,52,1.023182
116832.057307,52,1.033172
108046.586192,52,1.043299
109006.507474,52,1.053597
109597.402706,52,1.064629
110506.774375,52,1.074579
95363.759555,52,1.084467
105391.804667,52,1.094333
121996.514982,52,1.104641
117999.117816,52,1.114284
130957.136474,52,1.124028
112701.992675,52,1.1338
118703.278131,52,1.143873
115366.2905,52,1.153676
138254.869164,52,1.16345
120297.860861,52,1.173146
138791.661414,52,1.183895
117350.625643,52,1.193865
108054.906117,52,1.203667
122719.141247,52,1.214292
95328.748986,52,1.225093
134324.422727,52,1.235453
118997.428751,52,1.245605
109049.861783,52,1.256448
118347.742525,52,1.267069
118224.012804,52,1.277543
129552.896135,52,1.287596
113193.276273,52,1.297589
111794.689553,52,1.30782
112852.361201,52,1.317994
118890.875028,52,1.327716
105977.379192,52,1.337531
119652.740137,52,1.347794
131046.651052,52,1.357836
114643.680301,52,1.367644
117591.182595,52,1.377494
119675.850863,52,1.389341
121599.091308,52,1.40195
150117.400156,52,1.415411
107757.323659,52,1.427505
129134.241854,52,1.441141
130565.892278,52,1.455149
111881.933745,52,1.468015
116296.180066,52,1.480573
125371.101484,52,1.493875
113621.302981,52,1.50621
128925.906283,52,1.518411
111535.233176,52,1.530012
141226.627487,52,1.544291
135498.750947,52,1.557865
136748.776451,52,1.570164
118351.305517,52,1.580434
131892.043769,52,1.591151
130160.914827,52,1.601469
125115.150547,52,1.611605
141099.93188,52,1.622715
95291.652129,52,1.6341
126224.963183,52,1.644627
110746.314223,52,1.655435
126895.413065,52,1.665958
121865.2077,52,1.676923
138769.523218,52,1.687644
130760.454101,52,1.698053
144842.619829,52,1.708856
128161.832897,52,1.720588
132241.418523,52,1.731242
129212.493148,52,1.74182
136175.490927,52,1.751892
127815.128586,52,1.7623
124900.743783,52,1.772323
133737.678761,52,1.782232
121099.749067,52,1.792333
105674.675221,52,1.802938
131273.883376,52,1.812856
117751.389378,52,1.823708
133607.102006,52,1.834307
116788.508351,52,1.84509
131036.14178,52,1.855825
136190.362072,52,1.866113
105928.008538,52,1.876964
136959.841938,52,1.888295
113427.223935,52,1.89893
130737.078212,52,1.910024
141985.946823,52,1.920573
123885.886045,52,1.931662
120829.917788,52,1.942261
103933.223235,52,1.953281
111767.433642,52,1.963936
143341.740096,52,1.975138
123018.967088,52,1.985438
137187.737733,52,1.995657
130563.449629,52,2.005906
133687.535704,52,2.016345
131590.593782,52,2.026483
122558.207155,52,2.036469
109316.39716,52,2.046504
123578.589363,52,2.057425
141615.505511,52,2.067526
118545.540696,52,2.077898
146424.259541,52,2.088811
127415.378303,52,2.100348
113969.807358,52,2.110891
137821.765754,52,2.12176
112379.982887,52,2.132612
135595.011984,52,2.144282
142064.796468,52,2.155317
136502.27301,52,2.166264
120485.298455,52,2.176779
134942.697046,52,2.187806
127148.63158,52,2.19809
134535.168826,52,2.208166
107907.342535,52,2.219089
96875.893008,52,2.23028
121789.47656,52,2.240665
121279.661494,52,2.250902
145543.564063,52,2.261142
137426.491368,52,2.271884
124338.371895,52,2.281963
139540.424,52,2.292068
118974.506383,52,2.302308
124365.411327,52,2.313361
122137.116431,52,2.323923
126067.993852,52,2.334833
127163.041146,52,2.345631
106308.937306,52,2.357154
117303.758337,52,2.367986
139097.088045,52,2.378809
119399.8405,52,2.389535
114763.964935,52,2.400406
138805.609528,52,2.410908
130520.078931,52,2.421132
130999.080655,52,2.431527
134556.778986,52,2.442347
127909.978174,52,2.452532
130939.407663,52,2.462546
101577.483412,52,2.472355
120656.782543,52,2.482901
129064.120582,52,2.492983
122728.68111,52,2.503295
145889.284145,52,2.5137
130214.467275,52,2.525051
130966.344949,52,2.535753
121172.586773,52,2.546627
133932.44755,52,2.557674
140840.671454,52,2.568707
119408.811198,52,2.579525
117183.943976,52,2.590153
124086.946648,52,2.60081
136617.133674,52,2.612555
142037.542719,52,2.622976
118665.416995,52,2.633604
134250.978989,52,2.643911
111316.612236,52,2.654624
124149.080967,52,2.665003
135389.17014,52,2.675514
119301.237906,52,2.685707
132843.080631,52,2.698128
116049.019358,52,2.708373
129057.663061,52,2.71876
120474.138732,52,2.729716
136291.599475,52,2.742252
132093.153482,52,2.753084
135971.977072,52,2.764643
139056.767938,52,2.775712
118660.127199,52,2.787266
118242.27117,52,2.798215
128055.315647,52,2.808665
120491.789853,52,2.819438
135013.780827,52,2.830451
113484.580812,52,2.841272
147971.298875,52,2.85199
127003.667311,52,2.862649
137500.570458,52,2.873862
132353.945674,52,2.884218
145303.889172,52,2.894931
135630.582644,52,2.905532
134325.181597,52,2.916826
135500.043207,52,2.927502
121976.80231,52,2.938423
137783.789952,52,2.949675
103034.446263,52,2.960998
143622.932936,52,2.972047
134752.705594,52,2.98324
141833.395989,52,2.994361
141557.61141,52,3.006127
112593.142165,52,3.017074
124186.934653,52,3.028419
