#{"t_start": 1747307122.818335, "env_id": "None"}
r,l,t
115108.636219,52,0.01944
119104.966798,52,0.028514
124998.973693,52,0.03753
111278.353368,52,0.046519
135062.230401,52,0.05553
109713.620639,52,0.06455
109238.983949,52,0.073511
112316.023737,52,0.082477
124455.275963,52,0.09145
115394.50443,52,0.100438
127067.637455,52,0.109425
104493.942503,52,0.118433
124293.936675,52,0.127918
119774.343208,52,0.137193
100020.312517,52,0.14681
126038.849173,52,0.156373
120106.093943,52,0.1658
126477.597035,52,0.175429
125173.787241,52,0.185056
104251.823726,52,0.194472
114245.248502,52,0.203802
112956.6315,52,0.213201
97107.183247,52,0.222377
110993.116211,52,0.231391
108542.402415,52,0.240274
123177.52389,52,0.249009
116669.086736,52,0.257766
130251.941108,52,0.266474
135281.927576,52,0.275215
88640.978831,52,0.283937
123244.598505,52,0.29266
88401.775094,52,0.301388
114511.861341,52,0.310101
107937.345689,52,0.318811
130872.682746,52,0.327508
97169.908552,52,0.336211
128689.419483,52,0.344911
124201.939285,52,0.353559
132606.44143,52,0.362215
131207.889141,52,0.581025
127155.579456,52,0.590666
128363.792441,52,0.600326
116443.639118,52,0.609869
108779.953056,52,0.619207
129216.941837,52,0.628539
126052.421621,52,0.637878
121349.600104,52,0.647231
112348.732912,52,0.656718
130058.205392,52,0.666128
139210.506916,52,0.675518
123876.259472,52,0.684664
125678.967979,52,0.69377
107958.976485,52,0.703051
116494.811166,52,0.712182
128988.80641,52,0.7213
109936.756119,52,0.730359
117820.077647,52,0.739408
132065.840047,52,0.74846
119876.140309,52,0.757545
140141.892703,52,0.766587
142851.666919,52,0.775606
124171.141481,52,0.784335
123501.160162,52,0.793069
127715.199401,52,0.801817
127613.633742,52,0.810505
132450.029093,52,0.81921
130519.736084,52,0.827906
117035.324829,52,0.836565
127794.307996,52,0.845281
110785.102179,52,0.854001
131085.765671,52,0.862724
112016.597684,52,0.871423
123281.767245,52,0.880117
110897.783907,52,0.888862
137663.209128,52,0.897544
136603.557252,52,0.906235
126673.798604,52,0.914942
127685.537978,52,0.923581
126828.64854,52,1.148645
140330.792333,52,1.158324
139041.123692,52,1.167788
138997.8611,52,1.177176
117289.554912,52,1.186492
123421.972517,52,1.195832
112054.796696,52,1.205122
129734.927661,52,1.214571
139728.928485,52,1.223876
126464.289151,52,1.233118
130320.31703,52,1.242325
