#{"t_start": 1744923385.571989, "env_id": "None"}
r,l,t
239.875,100,0.489946
-2041.8745,100,0.496672
4542.1105,100,0.503242
4647.5055,100,0.50972
-754.889,100,0.53651
7567.6315,100,0.54339
5847.033,100,0.550122
12642.5365,100,0.556896
9416.328,100,0.564412
8070.396,100,0.571245
7238.2045,100,0.632971
8325.4305,100,0.651615
2886.449,100,0.670689
10316.492,100,0.690075
16369.8935,100,0.709874
-7.1755,100,0.729563
9932.032,100,0.75017
8323.8585,100,0.768872
6495.1805,100,0.787696
2694.5825,100,0.806041
4582.3895,100,0.825113
2195.118,100,0.84282
9486.8755,100,0.860911
2209.4635,100,0.878781
8537.184,100,0.897578
8114.6985,100,0.915483
740.7935,100,0.933434
4705.727,100,0.951788
8099.7935,100,0.971786
8959.4595,100,0.990761
15569.606,100,1.010037
6321.8085,100,1.029086
5345.7065,100,1.04871
8007.623,100,1.067131
8605.303,100,1.085331
772.014,100,1.103419
6126.083,100,1.122308
8000.2155,100,1.140503
3319.1105,100,1.158631
6806.3035,100,1.177402
9211.0445,100,1.197767
9469.035,100,1.217234
9845.974,100,1.236655
10475.4275,100,1.255682
6944.4415,100,1.275043
10492.428,100,1.293675
276.1285,100,1.311987
3544.349,100,1.330111
11160.2055,100,1.348853
6811.561,100,1.366806
9670.3185,100,1.384952
4990.389,100,1.404147
5315.8925,100,1.424263
13937.019,100,1.443751
11322.221,100,1.463415
2418.848,100,1.482589
8786.9825,100,1.501979
4762.8905,100,1.520291
6544.3945,100,1.538832
2008.7165,100,1.5573
8625.1595,100,1.576746
11388.9315,100,1.595325
4253.5385,100,1.614023
-587.3845,100,1.632886
6540.0725,100,1.653489
7555.989,100,1.674517
3863.7925,100,1.695058
7082.985,100,1.715121
1008.137,100,1.735826
1766.7935,100,1.75526
10012.992,100,1.774141
10404.169,100,1.793459
7264.8755,100,1.818336
5870.943,100,1.836807
10909.2765,100,1.856235
5475.828,100,1.876583
3665.6335,100,1.897098
10547.716,100,1.917213
2353.0665,100,1.937051
6951.8565,100,1.956622
9203.5345,100,1.976673
14744.0495,100,1.995747
7107.227,100,2.013946
7610.892,100,2.0325
5393.6655,100,2.052003
10647.786,100,2.071177
5281.3985,100,2.090534
-1454.3605,100,2.110221
8094.955,100,2.130796
10874.9575,100,2.151057
5571.501,100,2.171043
8114.709,100,2.190471
4282.1955,100,2.210609
7908.034,100,2.22951
788.3905,100,2.24877
3438.5355,100,2.267959
5488.0295,100,2.287458
12201.4745,100,2.30695
8899.2405,100,2.326565
12684.9715,100,2.346468
5125.0055,100,2.368048
15956.3275,100,2.388113
4186.921,100,2.408234
13102.495,100,2.428215
10095.07,100,2.448849
8598.0875,100,2.467952
11063.42,100,2.487423
9444.9315,100,2.506771
10400.1375,100,2.526646
2992.975,100,2.546106
8037.693,100,2.56576
4412.7765,100,2.586487
2262.27,100,2.607676
9932.3415,100,2.628189
13638.1185,100,2.648533
1951.542,100,2.668554
8033.2055,100,2.689111
5755.1485,100,2.708425
11926.8205,100,2.727828
7010.9345,100,2.747119
8322.963,100,2.767735
4656.254,100,2.787288
4150.109,100,2.807567
7054.7365,100,2.827645
10497.6675,100,2.848383
9921.484,100,2.868828
6104.96,100,2.889689
11820.8055,100,2.91017
10269.213,100,2.931263
11382.686,100,2.951042
6400.469,100,2.971171
8674.7365,100,2.990863
3604.178,100,3.011585
10494.7025,100,3.031413
3098.3855,100,3.051591
3638.126,100,3.072708
1269.7815,100,3.094092
3675.6885,100,3.114771
9230.068,100,3.135927
7052.866,100,3.155951
4697.0295,100,3.177168
16329.817,100,3.196686
7499.587,100,3.216266
8586.8695,100,3.235818
1614.7605,100,3.256692
7983.637,100,3.276598
-1620.2285,100,3.297449
2587.439,100,3.318539
5654.061,100,3.340121
7157.3815,100,3.361311
14345.9825,100,3.382407
3060.5025,100,3.40271
7790.513,100,3.423956
10736.599,100,3.443392
7498.6195,100,3.463535
9093.6165,100,3.483556
7241.1025,100,3.504083
11245.843,100,3.524251
352.3915,100,3.545291
-735.3975,100,3.565793
8090.2895,100,3.587616
7952.3625,100,3.609081
2502.1925,100,3.630561
9996.75,100,3.651294
4412.9265,100,3.672606
-877.2585,100,3.693237
-4361.0555,100,3.713871
1565.6925,100,3.733768
5742.035,100,3.755298
-3931.3035,100,3.775322
8770.256,100,3.796514
4161.5765,100,3.817889
9949.244,100,3.83979
5510.0255,100,3.861187
5116.3465,100,3.882156
3852.85,100,3.903237
-269.129,100,3.924438
16649.441,100,3.945092
11546.7495,100,3.965363
7892.092,100,3.985915
2108.027,100,4.007195
782.239,100,4.027374
11140.0995,100,4.049168
10877.4965,100,4.070295
2858.9465,100,4.092439
3159.773,100,4.114062
3871.5325,100,4.135665
11905.614,100,4.156212
9936.4065,100,4.177229
10849.1285,100,4.197853
3491.1735,100,4.218307
5306.2275,100,4.239258
9253.368,100,4.261102
7184.8635,100,4.281321
5212.1035,100,4.302364
14798.169,100,4.324001
11013.103,100,4.346602
10104.3955,100,4.368351
11472.2805,100,4.389616
8057.0185,100,4.409744
6818.731,100,4.431824
8147.908,100,4.453068
12069.7335,100,4.473958
4858.5145,100,4.495058
9751.8525,100,4.516303
10148.818,100,4.536967
3841.7005,100,4.559066
6301.9,100,4.580752
7333.087,100,4.603158
3266.8,100,4.625159
10757.236,100,4.64666
13818.24,100,4.667806
9428.4625,100,4.689741
6560.0895,100,4.711321
6803.5465,100,4.732262
13899.33,100,4.752926
10714.0635,100,4.775024
14335.3335,100,4.796662
3013.48,100,4.818385
2361.6005,100,4.84035
8506.04,100,4.862694
9918.226,100,4.884498
7429.981,100,4.906338
11956.3585,100,4.92762
7087.3705,100,4.949317
11390.429,100,4.970507
18438.1655,100,4.991288
13237.8115,100,5.012547
13946.619,100,5.034566
11505.5915,100,5.056172
16068.6345,100,5.077972
14022.656,100,5.099806
5989.0785,100,5.122959
7613.247,100,5.145183
6118.8435,100,5.166958
9967.589,100,5.188443
12870.7135,100,5.210752
8987.3425,100,5.232236
12318.4805,100,5.253805
13322.8715,100,5.275124
9668.7435,100,5.297315
1163.8435,100,5.319314
18070.047,100,5.341547
7532.726,100,5.363625
9916.144,100,5.386552
19494.7525,100,5.409265
9524.637,100,5.430699
21025.7985,100,5.452277
8612.0085,100,5.474697
11062.9565,100,5.496438
13299.0085,100,5.518519
9528.283,100,5.540016
14539.867,100,5.562266
6931.299,100,5.583888
10136.1995,100,5.606219
2549.4125,100,5.628524
8634.2515,100,5.651803
6557.611,100,5.674496
10330.286,100,5.696713
8128.374,100,5.718685
7462.2445,100,5.741315
16951.3545,100,5.762789
11409.427,100,5.784435
3058.779,100,5.806073
6762.7895,100,5.828464
14402.943,100,5.850883
19257.0045,100,5.873344
10501.0425,100,5.896258
7105.5565,100,5.919639
9251.05,100,5.942578
16915.038,100,5.964921
14550.222,100,5.98681
9273.5645,100,6.009309
20816.0475,100,6.030876
7752.58,100,6.05248
11728.615,100,6.074222
13154.6125,100,6.098571
13733.264,100,6.121477
13216.721,100,6.144467
12152.8435,100,6.167237
9715.7145,100,6.191092
9175.5515,100,6.213809
15556.1625,100,6.236084
12299.8905,100,6.258062
13843.0315,100,6.280701
12882.1375,100,6.302663
7556.7205,100,6.324673
13918.4685,100,6.346571
6072.9545,100,6.369146
2281.4435,100,6.391684
5428.3465,100,6.414922
13049.7905,100,6.437876
8838.985,100,6.461499
6142.6885,100,6.484164
13516.1755,100,6.506573
