#{"t_start": 1745774387.514453, "env_id": "None"}
r,l,t
126559.233513,50,0.506448
108302.384039,50,0.509879
130418.160916,50,0.513431
111879.889664,50,0.516925
127996.216923,50,0.529522
129927.907948,50,0.53322
100528.737057,50,0.536749
124152.809116,50,0.540252
104325.966721,50,0.544352
130706.251261,50,0.54792
114161.381115,50,0.551505
134012.691045,50,0.555103
139663.056667,50,0.559216
114528.113456,50,0.56287
121614.42352,50,0.566604
110795.645401,50,0.570273
139385.270742,50,0.578948
88806.004255,50,0.58271
130666.393668,50,0.586421
104618.881255,50,0.590102
108833.774329,50,0.646296
142255.619267,50,0.655485
140251.659527,50,0.664787
126792.415442,50,0.673566
130252.766673,50,0.683165
137294.048974,50,0.69211
152255.834004,50,0.701293
116085.423124,50,0.7102
144136.468033,50,0.72174
123491.653679,50,0.731533
112411.755813,50,0.741894
146318.039925,50,0.751436
138323.587829,50,0.762242
131129.971012,50,0.771443
139628.160608,50,0.781376
149492.634962,50,0.790623
118746.471427,50,0.801328
139203.76269,50,0.810758
100798.560383,50,0.820608
128788.114065,50,0.829714
142437.654696,50,0.83989
100101.094803,50,0.848673
162753.57764,50,0.857738
147759.785347,50,0.866513
120753.086434,50,0.876044
97970.284088,50,0.884761
123344.200501,50,0.89388
124424.151747,50,0.902621
122859.85025,50,0.913279
132339.128472,50,0.922008
123305.653462,50,0.931408
141403.029027,50,0.940777
92475.137158,50,0.950965
124509.690933,50,0.960182
102090.984605,50,0.9698
132098.69601,50,0.978998
143966.372592,50,0.98913
147697.098877,50,0.99822
144115.271805,50,1.007735
131724.149996,50,1.016754
123216.459497,50,1.027288
132997.976713,50,1.03616
106308.282645,50,1.045278
135525.904266,50,1.053971
130259.846856,50,1.063689
132529.887685,50,1.072351
90052.124423,50,1.081433
112923.755651,50,1.090178
148962.330188,50,1.099833
131111.049437,50,1.10861
128166.429023,50,1.11777
131863.724551,50,1.12648
120031.183509,50,1.135879
104670.496292,50,1.144981
114270.596484,50,1.154661
115660.71761,50,1.163901
138815.840733,50,1.174185
105277.707809,50,1.183642
125325.041589,50,1.19344
147605.517036,50,1.202638
143731.625206,50,1.212872
144000.639529,50,1.221894
117395.549422,50,1.231469
128070.944853,50,1.240819
145700.140507,50,1.250874
130836.258297,50,1.25988
132229.617565,50,1.269265
139080.880969,50,1.278069
113938.206791,50,1.287631
134441.4828,50,1.296444
114746.115921,50,1.305645
116699.63775,50,1.314411
137892.695512,50,1.324255
89755.284108,50,1.333188
