#{"t_start": 1745776270.3942888, "env_id": "None"}
r,l,t
109285.030837,52,0.515579
154446.138168,52,0.519154
119298.125697,52,0.522738
131660.10163,52,0.526364
124573.49608,52,0.539728
156196.674164,52,0.543686
99669.87688,52,0.547439
143455.47362,52,0.551156
143659.195956,52,0.555401
128660.80316,52,0.55914
149720.934674,52,0.562905
126155.943619,52,0.566534
144530.203605,52,0.570743
132237.999212,52,0.57448
108965.846312,52,0.578242
108244.305668,52,0.582059
141046.377807,52,0.586209
115108.091385,52,0.58993
138855.627655,52,0.593759
131771.744083,52,0.656104
149963.921547,52,0.666645
112048.846022,52,0.676605
93477.165024,52,0.68613
166643.502397,52,0.696656
132126.489565,52,0.706749
119585.036297,52,0.716119
131235.518996,52,0.725876
142211.872702,52,0.736584
138915.05028,52,0.747322
104518.185821,52,0.75808
150329.656265,52,0.76864
98536.305587,52,0.778597
134336.024514,52,0.789026
119818.999805,52,0.799181
144821.450658,52,0.809196
129727.353578,52,0.819373
120450.174967,52,0.82941
124478.458534,52,0.839009
147116.079187,52,0.848859
141689.711889,52,0.858344
154351.033654,52,0.868431
136947.469543,52,0.877944
129783.653054,52,0.887384
145015.146405,52,0.896778
135944.367095,52,0.906635
127482.943421,52,0.915959
114834.930194,52,0.925462
135912.635235,52,0.934905
142335.528409,52,0.944497
131311.49426,52,0.954348
122152.484602,52,0.964409
143033.467293,52,0.974153
126806.65941,52,0.984259
124522.951139,52,0.994005
125714.678695,52,1.003971
126123.749341,52,1.013808
118563.618092,52,1.024567
150076.44126,52,1.035094
106609.083086,52,1.045689
139005.845901,52,1.055399
101924.299622,52,1.06573
124854.929603,52,1.075356
140224.695135,52,1.084936
138680.587963,52,1.094474
146446.2782,52,1.104514
135707.561961,52,1.113854
154802.678301,52,1.123309
146708.801244,52,1.132638
132235.684746,52,1.142602
125993.741659,52,1.152126
157698.535995,52,1.161662
94566.248132,52,1.171277
128350.254079,52,1.181488
123929.79762,52,1.191452
156623.872258,52,1.201557
146087.077749,52,1.224072
123916.472673,52,1.234715
108111.420255,52,1.244587
119210.510706,52,1.254972
100689.23492,52,1.265087
112513.051188,52,1.275511
140695.142365,52,1.285745
136143.163251,52,1.29537
135820.940334,52,1.304921
143197.40253,52,1.315015
167862.94602,52,1.324606
155938.835234,52,1.334045
103162.524704,52,1.343628
122109.778624,52,1.353565
136060.945286,52,1.363089
113711.317402,52,1.372824
153172.38864,52,1.38225
107022.389618,52,1.392294
148610.638818,52,1.402012
141625.867532,52,1.411446
140627.166942,52,1.421193
180545.504824,52,1.431583
135184.609133,52,1.441534
126205.158425,52,1.451576
130008.985682,52,1.46138
130388.458784,52,1.471912
126790.005064,52,1.482191
132298.880539,52,1.492294
131748.983146,52,1.502469
147325.53993,52,1.51314
127275.548303,52,1.523389
132228.12169,52,1.533291
126759.897424,52,1.542975
110486.609026,52,1.55294
