step,reward
1,34.48083306342362
2,24.041868345737456
3,31.7061172196269
4,-70.79885767519477
5,-108.8811781963706
6,-100.46544333696366
7,-67.19408412784338
8,-99.53557601094238
9,-95.74654379338028
10,-57.19290051981807
11,-91.11620872169733
12,-48.336638088375295
13,157.24616908177734
14,-493.696827121377
15,-388.11537076056004
16,-118.8620980077982
17,-136.68426669955255
18,-80.38271504938604
19,-63.35923628568649
20,26.860000789165575
21,-65.23237986013294
22,-93.84697766304015
23,28.450198936462407
24,85.31489649295807
25,190.47446271419525
26,-102.58784358620643
27,26.373826259970585
28,-64.06797306001187
29,-307.1411245471239
30,-108.2345852357149
31,-87.35954829514026
32,-354.66562159717085
33,-773.1199995291233
34,-62.64830407083035
35,-48.22657866567374
36,-103.7586219149828
37,-180.34631965279578
38,-60.50382839739325
39,-119.70000043809415
40,-109.12813556194307
41,20.913589965701103
42,-107.3988038957119
43,-106.59775079458956
44,-81.89826476573944
45,-479.17677190184594
46,-79.3741375106573
47,-142.24660751000044
48,-140.71728891670705
49,-157.14234889805317
50,-100.74304359197617
51,-72.13114673137665
52,-57.12192049860954
53,-80.32735305666924
54,-75.71148914456369
55,-123.22558914989234
56,4.134241198301314
57,-74.45588176727296
58,-69.24767201423644
59,-224.34947319507594
60,-332.4989876699447
61,-65.08264319777489
62,-69.20140056610107
63,-56.594930068254484
64,-56.79018170759082
65,-270.91560194596656
66,-198.5760001370311
67,-98.24862636506559
68,-117.52606923580169
69,-71.84971041887997
70,-91.48000023782254
71,-65.82299511551857
72,-92.68199643194676
73,-263.8136290723086
74,-369.8699982208013
75,-1732.5200029495359
76,-1433.5590903910995
77,-86.80133352443576
78,-692.4650347769261
79,-368.0597085744143
80,-1210.8799989879133
81,-684.7357982099056
82,-64.79051679834723
83,-78.42908622920513
84,-50.434871785640716
85,-105.9405295920372
86,-107.33053735792637
87,-70.28669755101204
88,-497.3792895436287
89,-275.3159085094929
90,-283.27393798828126
91,-754.7050104677678
92,-502.65152517557146
93,-215.79495009750127
94,-393.4487307488918
95,-75.34822297677398
96,122.73168028593068
97,243.46261240661144
98,-439.19778594255445
99,-366.4838407552242
100,-73.05297993689776
101,37.736000178754324
102,43.265644295811654
103,23.58797665029764
104,-194.8724620217085
105,-73.17510905802249
106,-155.99036580920222
107,-84.60071040004492
108,-126.58958857923741
109,-86.87594372630123
110,-95.54363182663917
111,-88.48433979898692
112,-94.52624650105827
113,253.34186517059808
114,-523.9234593886138
115,-516.0220457988978
116,-75.39377415657043
117,-100.73003177762031
118,-88.49840645492077
119,-109.50980861663818
120,-71.46082025170323
121,-82.58262775942683
122,-80.77614039927721
123,65.07150207757951
124,254.5011494731903
125,52.684244482517244
126,-95.49614068835974
127,-75.2604485529662
128,-78.48041046053171
129,-438.7001506946981
130,-89.07808336436749
131,-58.514246011078356
132,-632.1988816660644
133,-426.87923052966596
134,-72.70364628195762
135,-51.75078542098402
136,-84.42523044586181
137,84.44000332593919
138,-104.02011151984334
139,-96.33650790452958
140,-93.57433668971063
141,47.10033968508243
142,-65.06285331845284
143,-112.7449127045274
144,-78.8070990487933
145,-279.58614853978156
146,-68.07555224478244
147,-164.108039880842
148,115.48340558946131
149,-82.04761584341526
150,-84.60174899339677
151,-62.966604873239994
152,-81.50360308945179
153,-87.52920799195766
154,-56.12109866827726
155,-94.23999959588055
156,-84.27899671375752
157,-135.63588551282885
158,-72.73865195512772
159,-237.7246231603622
160,-347.9235241365432
161,-293.3740696698427
162,-64.45602779388427
163,-52.14777956187726
164,-67.68287184089422
165,-186.43513292580846
166,-256.322411825955
167,-76.56119989439846
168,-85.65230112969874
169,-49.39413238972424
170,-74.57179590493442
171,-325.8272441482544
172,-78.80240325033665
173,-548.6922183859349
174,-724.3884328758716
175,-1461.34121096164
176,-907.7599980336428
177,-66.18345106005668
178,-697.2086327940226
179,-359.95229309797287
180,-663.8967878997327
181,-1233.7883625924587
182,-87.14647964715958
183,-103.50016790032386
184,-51.9569210934639
185,-56.34985019207001
186,-63.7369228810072
187,-89.82381033420563
188,-496.3999997735024
189,-959.4456711530686
190,-719.2640477359296
191,-755.2813776224853
192,-755.1428595870734
193,-205.70932760447263
